id,parentId
states,
Midwest,states
Northeast,states
South,states
West,states
ME,Northeast
NH,Northeast
VT,Northeast
NY,Northeast
MA,Northeast
PA,Northeast
RI,Northeast
CT,Northeast
NJ,Northeast
OH,Midwest
MI,Midwest
IA,Midwest
WI,Midwest
IL,Midwest
MI,Midwest
IN,Midwest
ND,Midwest
SD,Midwest
NE,Midwest
KS,Midwest
DE,South
VA,South
WV,South
KY,South
NC,South
SC,South
TN,South
GA,South
FL,South
AL,South
AR,South
LA,South
TX,South
OK,South
MT,West
ID,West
WY,West
CO,West
NM,West
AZ,West
UT,West
NV,West
CA,West
WA,West
OR,West